Data File:  G:\Meu Drive\Integrated Design\Bancada para o Controle\Henrique\Testes Passivos\REG_CVHS_passivo\01_11_2019\Transient\20191031_LaFeSi_CVHS_mf20_dT3K_Th303_Fb0p5_f0p75_cycle_10_35_27.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: sexta-feira, 1 de novembro de 2019 @ 10:35:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control Test Apparatus - Experimentos iniciais - POLO-UFSC 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Run Time [s],T Reg Hot [�C],T Reg Cold [�C],T CHEX in [�C],T CHEX out [�C],T HHEX in [�C],T HHEX out [�C],T amb left [�C],T amb door [�C],T amb right [�C],T cab down [�C] ,T cab middle [�C],T cab up [�C],Torque [Nm],Displacement [%], MFR - HB [kg/h], MFR - CB [kg/h],HighFlow [L/h],LowFlow [L/h],P Hot in [bar],P Cold in [bar],P Cold out [bar] ,P Hot out [bar],P sys in [bar],P sys out [bar],dp Cold [bar],dp Hot [bar],dp System [bar],Field [V],V_VHB_high [V],I_VHB_high [A],V_VHB_low [V],I_VHB_low [A],V_VCB_high [V],I_VCB_high [A],V_VCB_low [V],I_VCB_low [A],f AMR [Hz],Vazao setada [kg/h],FB [%],W pump [W],W motor [W],W VHB High [W],W VHB Low [W],W VCB High [W],W VCB Low [W]
2435.88667,30.46011,27.80069,27.56649,30.34500,30.59862,27.72573,25.47242,25.89341,27.93327,26.37083,26.36043,26.33206,-0.23700,0.22606,19.83347,0.18503,21.46824,2.20722,1.84370,1.89129,1.83213,1.87050,2.08998,1.87257,0.05915,-0.02680,0.21741,2.70586,0.00658,-0.00247,-0.01038,-0.00385,23.88141,0.28694,24.85881,0.00896,0.75000,1.53000,50.00000,0.11386,-0.56206,1.67665,1.63310,1.45156,1.59503
2435.89333,30.46981,27.79750,27.59521,30.36809,30.59657,27.71061,25.48533,25.92149,27.92301,26.35610,26.32371,26.35429,-0.23732,0.23352,19.83347,0.20614,21.46599,2.21419,1.84260,1.89101,1.83131,1.86995,2.09040,1.87285,0.05970,-0.02735,0.21755,2.70642,0.00704,-0.00235,-0.01084,-0.00397,24.38954,0.00085,24.30454,0.00123,0.75000,1.53000,50.00000,0.11386,-0.56206,1.67665,1.63310,1.45040,1.59501
2435.90000,30.44943,27.77508,27.57482,30.37563,30.60176,27.70378,25.38817,25.90890,27.92581,26.37623,26.32775,26.34115,-0.23796,0.23352,19.82643,0.22373,21.46375,2.21475,1.84205,1.89129,1.83020,1.86995,2.08957,1.87285,0.06108,-0.02790,0.21672,2.70698,0.00704,-0.00247,-0.00992,-0.00393,24.38954,0.00089,24.30778,0.00123,0.75000,1.53000,50.00000,0.11386,-0.56205,1.67665,1.63310,1.45039,1.59502
2435.90667,30.45670,27.76142,27.63088,30.39032,30.60819,27.70923,25.47008,25.90544,27.92386,26.38177,26.36695,26.33464,-0.23700,0.23104,19.80532,0.24836,21.45926,2.20834,1.84177,1.89129,1.83075,1.87050,2.08791,1.87257,0.06053,-0.02873,0.21534,2.70554,0.00658,-0.00259,-0.01177,-0.00389,23.75230,0.23023,23.75859,0.26413,0.75000,1.53000,50.00000,0.11386,-0.56205,1.67665,1.63310,1.45584,1.60126
2435.91333,30.46727,27.75886,27.58605,30.38953,30.61719,27.69974,25.46602,25.91344,27.91848,26.37550,26.34862,26.34704,-0.23700,0.23352,19.77365,0.29410,21.45926,2.22395,1.84122,1.89211,1.82993,1.87106,2.08750,1.87257,0.06219,-0.02984,0.21493,2.70742,0.00704,-0.00259,-0.01177,-0.00389,24.37936,0.00109,24.29436,0.00123,0.75000,1.53000,50.00000,0.11386,-0.56204,1.67665,1.63310,1.45024,1.59472
2435.92000,30.45064,27.74274,27.56380,30.41184,30.59862,27.69923,25.47413,25.89192,28.01999,26.36249,26.34580,26.33107,-0.23700,0.23352,19.73846,0.35039,21.46824,2.20778,1.84177,1.89294,1.83048,1.87189,2.08625,1.87202,0.06247,-0.03011,0.21424,2.70642,0.00750,-0.00247,-0.01084,-0.00385,24.41314,0.00077,24.30361,0.00123,0.75000,1.53000,50.00000,0.11387,-0.56203,1.67665,1.63310,1.45023,1.59472
2435.92667,30.48923,27.73200,27.54377,30.41147,30.62421,27.70327,25.41610,25.89979,27.94075,26.35547,26.32801,26.36301,-0.23796,0.23104,19.67865,0.42427,21.46151,2.21419,1.84205,1.89405,1.82993,1.87271,2.08418,1.87174,0.06412,-0.03067,0.21244,2.70646,0.00704,-0.00247,-0.01131,-0.00389,24.39139,0.00089,24.30639,0.00119,0.75000,1.53000,50.00000,0.11387,-0.56203,1.67665,1.63310,1.45023,1.59472
2435.93333,30.44227,27.73116,27.58544,30.42836,30.60491,27.69462,25.46848,25.91269,27.92362,26.38361,26.34951,26.36325,-0.23828,0.23352,19.63290,0.49816,21.46375,2.21614,1.84177,1.89488,1.83020,1.87299,2.08169,1.87146,0.06468,-0.03122,0.21023,2.70738,0.00704,-0.00243,-0.01038,-0.00393,24.39648,0.00093,24.31425,0.00131,0.75000,1.53000,50.00000,0.11387,-0.56202,1.67665,1.63310,1.45023,1.59472
2435.94000,30.46630,27.72678,27.44954,30.40965,30.61244,27.69435,25.47820,25.93492,27.91909,26.32869,26.34532,26.34484,-0.23732,0.23352,19.55901,0.57204,21.45926,2.21001,1.84177,1.89571,1.83131,1.87465,2.07838,1.87202,0.06440,-0.03288,0.20636,2.70534,0.00750,-0.00239,-0.00899,-0.00373,24.61908,0.02040,24.58260,0.00255,0.75000,1.53000,50.00000,0.11387,-0.56201,1.67665,1.63310,1.45071,1.59476
2435.94667,30.46071,27.73126,27.57553,30.47137,30.59571,27.78798,25.47942,25.90544,27.86477,26.38804,26.33991,26.34619,-0.23796,0.23104,19.47456,0.68814,21.46599,2.22590,1.84315,1.89681,1.83186,1.87520,2.07672,1.87174,0.06496,-0.03205,0.20498,2.70734,0.00704,-0.00243,-0.01270,-0.00381,24.37843,0.00081,24.29436,0.00131,0.75000,1.53000,50.00000,0.11387,-0.56201,1.67665,1.63310,1.45068,1.59474
2435.95333,30.45780,27.72837,27.57003,30.43406,30.61535,27.70243,25.48839,25.91638,27.93964,26.37796,26.34434,26.32654,-0.23700,0.22855,19.39012,0.80776,21.46824,2.21001,1.84343,1.89792,1.83158,1.87658,2.07548,1.87174,0.06634,-0.03315,0.20374,2.70646,0.00750,-0.00235,-0.01038,-0.00389,24.39093,0.00093,24.29991,0.00123,0.75000,1.53000,50.00000,0.11387,-0.56200,1.67665,1.63310,1.45068,1.59474
2435.96000,30.47324,27.71015,27.58042,30.42035,30.61692,27.71708,25.46639,25.88372,27.94489,26.37526,26.36091,26.41470,-0.23764,0.23352,19.27752,0.93442,21.46375,2.21698,1.84398,1.89958,1.83296,1.87824,2.07299,1.87146,0.06662,-0.03426,0.20153,2.70630,0.00843,-0.00243,-0.00946,-0.00393,23.85550,0.23740,23.82614,0.27202,0.75000,1.53000,50.00000,0.11387,-0.56200,1.67665,1.63310,1.45632,1.60119
2435.96667,30.46848,27.70564,27.61061,30.43285,30.60079,27.70819,25.48287,25.89697,27.93865,26.37317,26.32345,26.32752,-0.23732,0.23601,19.15085,1.08219,21.46599,2.21754,1.84508,1.90124,1.83324,1.87934,2.07009,1.87063,0.06800,-0.03426,0.19946,2.70690,0.00843,-0.00251,-0.01038,-0.00389,24.41499,0.00085,24.33137,0.00131,0.75000,1.53000,50.00000,0.11387,-0.56199,1.67665,1.63310,1.45052,1.59449
2435.97333,30.46459,27.69770,27.58726,30.45218,30.61183,27.71380,25.47242,25.90005,27.94266,26.37181,26.35353,26.33525,-0.23764,0.23352,19.00306,1.22644,21.46375,2.21029,1.84564,1.90207,1.83351,1.88045,2.07009,1.87174,0.06855,-0.03481,0.19835,2.70550,0.00797,-0.00239,-0.00899,-0.00385,24.25210,0.00081,24.16389,0.00131,0.75000,1.53000,50.00000,0.11387,-0.56198,1.67665,1.63310,1.45052,1.59449
2435.98000,30.47805,27.69161,27.57981,30.45035,30.61498,27.69937,25.47082,25.88946,27.91750,26.34970,26.35918,26.33279,-0.23668,0.23352,18.84120,1.40235,21.46151,2.22562,1.84591,1.90317,1.83462,1.88156,2.06843,1.87063,0.06855,-0.03564,0.19780,2.70726,0.00658,-0.00251,-0.01084,-0.00397,24.37982,0.00093,24.29760,0.00115,0.75000,1.53000,50.00000,0.11387,-0.56198,1.67665,1.63310,1.45051,1.59448
2435.98667,30.47042,27.68319,27.56895,30.46821,30.57994,27.69448,25.47376,25.91981,27.91505,26.36248,26.35538,26.32789,-0.23732,0.23352,18.63008,1.59234,21.46824,2.21057,1.84591,1.90455,1.83517,1.88238,2.06719,1.87146,0.06939,-0.03647,0.19573,2.70618,0.00750,-0.00243,-0.01131,-0.00385,24.39185,0.00129,24.31379,0.00127,0.75000,1.53000,50.00000,0.11387,-0.56197,1.67665,1.63310,1.45052,1.59447
2435.99333,30.47406,27.69625,27.57556,30.43832,30.60320,27.69708,25.50266,25.89673,27.93951,26.37697,26.33489,26.35724,-0.23732,0.23352,18.44711,1.79639,21.46824,2.21893,1.84729,1.90483,1.83600,1.88238,2.06553,1.87119,0.06883,-0.03509,0.19434,2.70642,0.00750,-0.00255,-0.00992,-0.00385,24.79030,0.00229,24.55068,0.00070,0.75000,1.53000,50.00000,0.11387,-0.56196,1.67665,1.63310,1.45055,1.59446
